Index/SKU;Nazwa;Wymiary;Ilosc;Cena jedn. (EUR);Razem (EUR)
"SEGO-LAC-PRO";"Łącznik prosty (Clamp)";"-";6;7.00;42.00
"SEGO-LIG-BOX-100X250";"Moduł 100x250";"100 x 250 cm";1;580.00;580.00
"SEGO-MINI-FOOT";"SEGO Mini FOOT";"-";7;5.00;35.00
"SEGO-LIG-BOX-200X250";"Moduł 200x250";"200 x 250 cm";1;1019.00;1019.00
"SEGO-LIG-BOX-300X250";"Moduł 300x250";"300 x 250 cm";2;1341.00;2682.00
"SEGO-LAC-WEW-ZEW";"Łącznik kątowy (wew/zew)";"-";2;3.00;6.00
"SEGO-EXT-CABLE";"Extension Cable";"-";1;9.00;9.00
